commit_date,commit,solution,loc_prod,loc_test,files_prod,files_test,classes,interfaces,avg_reach,p95_reach,max_reach,max_reach_file,core_size_pct,core_file_count,cycle_count,avg_fanout,max_fanout,max_fanout_file,avg_cyclomatic,p95_cyclomatic,max_cyclomatic,max_cyclomatic_method,avg_class_loc,p95_class_loc,max_class_loc,max_class_loc_name
2026-02-04T23:51:43+01:00,d983ce57,Profiles.slnx,3711,337,58,3,63,6,4.241,16,16,src/Profiles.Application/Interfaces/IApplicationService.cs,0.189655,11,1,0.879,5,src/Profiles.Domain/Entities/User.cs,3.398,12,17,ProfileController.Edit,52.9,190,371,AdminController
2026-02-05T22:23:25+01:00,201aaecb,Profiles.slnx,10053,761,102,5,129,9,5.382,25,26,src/Profiles.Application/Interfaces/IApplicationService.cs,0.147059,15,1,0.961,6,src/Profiles.Web/Program.cs,3.364,10,21,ProfileController.Edit,74.4,310,741,ProfileController
2026-02-06T19:23:02+01:00,4243ca7e,Profiles.slnx,10178,761,102,5,128,9,5.382,25,26,src/Profiles.Application/Interfaces/IApplicationService.cs,0.147059,15,1,0.961,6,src/Profiles.Web/Program.cs,3.458,10,21,ProfileController.Edit,76.1,310,795,AdminController
2026-02-07T03:41:23+01:00,177b6e00,Profiles.slnx,11738,761,116,5,145,11,5.526,26,27,src/Profiles.Application/Interfaces/IGoogleSyncService.cs,0.129310,15,1,0.983,6,src/Profiles.Web/Program.cs,3.642,12,21,ProfileController.Edit,77.3,316,915,AdminController
2026-02-08T22:53:22+01:00,672e5dbe,Profiles.slnx,11885,761,118,5,147,11,5.492,26,27,src/Profiles.Application/Interfaces/IGoogleSyncService.cs,0.127119,15,1,1.025,7,src/Profiles.Web/Program.cs,3.641,12,21,ProfileController.Edit,76.7,319,918,AdminController
2026-02-09T20:39:08+01:00,41d703f6,Profiles.slnx,12999,808,122,5,155,12,5.369,25,28,src/Profiles.Application/Interfaces/IAuditLogService.cs,0.122951,15,1,1.033,7,src/Profiles.Web/Program.cs,3.816,12,25,ProfileController.Edit,79.9,350,1084,AdminController
2026-02-10T22:08:17+01:00,3cf905ae,Humans.slnx,13851,808,125,5,165,12,5.072,24,27,src/Humans.Application/Interfaces/IAuditLogService.cs,0.120000,15,1,1.040,8,src/Humans.Web/Program.cs,3.845,12,25,ProfileController.Edit,80.9,353,1489,AdminController
2026-02-11T01:22:31+01:00,2664c461,Humans.slnx,14342,776,130,5,174,13,5.277,25,28,src/Humans.Application/Interfaces/IAuditLogService.cs,0.123077,16,1,1.054,8,src/Humans.Web/Program.cs,3.815,12,25,ProfileController.Edit,79.2,350,1488,AdminController
2026-02-12T23:39:46+01:00,eadb49df,Humans.slnx,14345,855,127,6,175,10,5.008,25,28,src/Humans.Application/Interfaces/IAuditLogService.cs,0.125984,16,1,1.055,8,src/Humans.Web/Program.cs,3.908,12,26,ProfileController.Edit,80.1,350,1488,AdminController
2026-02-13T02:25:12+01:00,4a0f4f30,Humans.slnx,14396,855,127,6,175,10,5.008,25,28,src/Humans.Application/Interfaces/IAuditLogService.cs,0.125984,16,1,1.055,8,src/Humans.Web/Program.cs,3.932,12,29,ProfileController.Edit,80.4,350,1507,AdminController
2026-02-15T23:47:03+01:00,7bf1c985,Humans.slnx,15547,1342,142,10,191,12,4.803,25,28,src/Humans.Application/Interfaces/IAuditLogService.cs,0.112676,16,1,1.092,10,src/Humans.Web/Program.cs,3.716,11,29,ProfileController.Edit,79.4,331,1421,AdminController
